Num,Name,Team,Games,AtBats,Runs,Hits,Doubles,Triples,Homers,RBIs
2,José Abreu,CHW,159,634,85,180,38,1,33,123
3,Ronald Acuna Jr.,ATL,156,626,127,175,22,2,41,101
5,Cristhian Adames,SFG,10,22,1,7,1,0,0,2
6,Willy Adames,TBR,152,531,69,135,25,1,20,52
12,Matt Adams,WSN,111,310,42,70,14,0,20,56
14,Ehire Adrianza,MIN,83,202,34,55,8,3,5,22
15,Dario Agrazal,PIT,14,22,0,2,0,0,0,2
17,Jesus Aguilar,MIL,94,222,26,50,9,0,8,34
18,Jesus Aguilar,TBR,37,92,13,24,3,0,4,16
19,Nick Ahmed,ARI,158,556,79,141,33,6,19,82
21,R.J. Alaniz,CIN,8,1,0,1,0,0,0,1
23,Hanser Alberto,BAL,139,524,62,160,21,2,12,51
24,Ozzie Albies,ATL,160,640,102,189,43,8,24,86
25,Sandy Alcantara,MIA,31,58,2,5,1,0,0,4
28,Jorge Alfaro,MIA,130,431,44,113,14,1,18,57
29,Anthony Alford,TOR,16,28,3,5,0,0,1,1
31,Austin Allen,SDP,34,65,4,14,4,0,0,3
33,Greg Allen,CLE,89,231,30,53,9,3,4,27
35,Logan Allen,SDP,7,4,1,1,0,0,0,0
36,Abraham Almonte,ARI,17,31,11,9,3,1,1,4
38,Albert Almora,CHC,130,339,41,80,11,1,12,32
39,Pete Alonso,NYM,161,597,103,155,30,2,53,120
41,Yonder Alonso,CHW,67,219,23,39,6,0,7,27
42,Yonder Alonso,COL,54,73,11,19,7,0,3,10
45,Aaron Altherr,PHI,22,29,2,1,1,0,0,1
47,Aaron Altherr,NYM,26,31,6,4,1,0,1,2
48,Jose Altuve,HOU,124,500,89,149,27,3,31,74
51,Yordan Álvarez,HOU,87,313,58,98,26,0,27,78
53,Brett Anderson,OAK,3,8,1,4,0,0,0,0
54,Brian Anderson,MIA,126,459,57,120,33,1,20,66
55,Chase Anderson,MIL,31,40,1,4,1,0,0,1
61,Shaun Anderson,SFG,25,25,0,2,1,0,0,0
63,Tim Anderson,CHW,123,498,81,167,32,0,18,56
64,Tyler Anderson,COL,5,7,1,1,0,0,0,0
66,Elvis Andrus,TEX,147,600,81,165,27,4,12,72
67,Miguel Andujar,NYY,12,47,1,6,0,0,0,1
68,Aristides Aquino,CIN,56,205,31,53,8,0,19,47
70,Chris Archer,PIT,22,35,1,4,0,0,0,2
71,Orlando Arcia,MIL,152,494,51,110,16,1,15,59
72,Nolan Arenado,COL,155,588,102,185,31,2,41,118
75,Randy Arozarena,STL,19,20,4,6,1,0,1,2
76,Luis Arraez,MIN,92,326,54,109,20,1,4,28
77,Jake Arrieta,PHI,23,45,2,7,1,0,0,4
78,Christian Arroyo,TBR,16,50,8,11,2,0,2,7
